step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.531420e-01,0.000000e+00,2.440000e-04,6.000000e-05,2.904000e-03,2.964000e-03,0.000000e+00,0.000000e+00,XXX,2.534460e-01,0.000000e+00,6.800000e-05,2.900000e-05,2.805000e-03,2.000000e-06,XXX,2.563500e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.956000e-03,2.000000e-06
2,XXX,2.593310e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.985000e-03,2.836000e-03,0.000000e+00,0.000000e+00,XXX,2.593310e-01,0.000000e+00,2.000000e-06,5.000000e-06,2.976000e-03,2.000000e-06,XXX,2.623160e-01,0.000000e+00,2.200000e-05,5.000000e-06,2.807000e-03,2.000000e-06
3,XXX,2.651600e-01,0.000000e+00,2.200000e-04,8.000000e-06,2.846000e-03,2.925000e-03,0.000000e+00,0.000000e+00,XXX,2.653880e-01,0.000000e+00,2.000000e-05,5.000000e-06,2.820000e-03,1.000000e-06,XXX,2.682340e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.918000e-03,1.000000e-06
4,XXX,2.711670e-01,0.000000e+00,0.000000e+00,1.000000e-06,2.949000e-03,2.847000e-03,0.000000e+00,0.000000e+00,XXX,2.711680e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.942000e-03,1.000000e-06,XXX,2.741170e-01,0.000000e+00,1.900000e-05,4.000000e-06,2.823000e-03,1.000000e-06
5,XXX,2.769720e-01,0.000000e+00,2.280000e-04,3.400000e-05,2.853000e-03,2.946000e-03,0.000000e+00,0.000000e+00,XXX,2.772340e-01,0.000000e+00,2.400000e-05,5.000000e-06,2.823000e-03,1.000000e-06,XXX,2.800870e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.939000e-03,1.000000e-06
6,XXX,2.830410e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.973000e-03,2.857000e-03,0.000000e+00,0.000000e+00,XXX,2.830420e-01,0.000000e+00,1.000000e-06,5.000000e-06,2.965000e-03,1.000000e-06,XXX,2.860140e-01,0.000000e+00,2.200000e-05,8.000000e-06,2.825000e-03,2.000000e-06
7,XXX,2.888790e-01,0.000000e+00,2.250000e-04,9.000000e-06,2.848000e-03,2.950000e-03,0.000000e+00,0.000000e+00,XXX,2.891140e-01,0.000000e+00,1.600000e-05,5.000000e-06,2.824000e-03,2.000000e-06,XXX,2.919610e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.943000e-03,1.000000e-06
8,XXX,2.949190e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.975000e-03,2.833000e-03,0.000000e+00,0.000000e+00,XXX,2.949190e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.968000e-03,1.000000e-06,XXX,2.978940e-01,0.000000e+00,2.200000e-05,5.000000e-06,2.805000e-03,1.000000e-06
9,XXX,3.007350e-01,0.000000e+00,2.280000e-04,8.400000e-05,2.851000e-03,2.950000e-03,0.000000e+00,0.000000e+00,XXX,3.010470e-01,0.000000e+00,2.100000e-05,4.000000e-06,2.825000e-03,1.000000e-06,XXX,3.038990e-01,0.000000e+00,1.000000e-06,4.000000e-06,2.943000e-03,1.000000e-06
10,XXX,3.068560e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.953000e-03,2.848000e-03,2.532800e-02,0.000000e+00,XXX,3.068570e-01,0.000000e+00,1.000000e-06,1.500000e-05,2.935000e-03,1.000000e-06,XXX,3.098090e-01,0.000000e+00,1.900000e-05,4.000000e-06,2.824000e-03,1.000000e-06
11,XXX,3.379940e-01,0.000000e+00,2.120000e-04,5.390000e-04,2.842000e-03,2.951000e-03,0.000000e+00,0.000000e+00,XXX,3.387450e-01,0.000000e+00,2.600000e-05,5.000000e-06,2.809000e-03,2.000000e-06,XXX,3.415870e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.944000e-03,1.000000e-06
12,XXX,3.445460e-01,0.000000e+00,0.000000e+00,1.000000e-06,2.976000e-03,2.856000e-03,0.000000e+00,0.000000e+00,XXX,3.445470e-01,0.000000e+00,1.000000e-06,5.000000e-06,2.969000e-03,1.000000e-06,XXX,3.475230e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.829000e-03,1.000000e-06
13,XXX,3.503870e-01,0.000000e+00,2.290000e-04,7.100000e-05,2.830000e-03,2.955000e-03,0.000000e+00,0.000000e+00,XXX,3.506870e-01,0.000000e+00,1.900000e-05,4.000000e-06,2.805000e-03,2.000000e-06,XXX,3.535170e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.948000e-03,1.000000e-06
14,XXX,3.564800e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.981000e-03,2.823000e-03,0.000000e+00,0.000000e+00,XXX,3.564800e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.973000e-03,2.000000e-06,XXX,3.594610e-01,0.000000e+00,2.200000e-05,5.000000e-06,2.794000e-03,2.000000e-06
15,XXX,3.622950e-01,0.000000e+00,2.400000e-04,7.600000e-05,2.818000e-03,2.945000e-03,0.000000e+00,0.000000e+00,XXX,3.626110e-01,0.000000e+00,1.800000e-05,5.000000e-06,2.794000e-03,1.000000e-06,XXX,3.654290e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.937000e-03,2.000000e-06
16,XXX,3.683810e-01,0.000000e+00,1.000000e-06,0.000000e+00,2.970000e-03,2.819000e-03,0.000000e+00,0.000000e+00,XXX,3.683820e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.963000e-03,1.000000e-06,XXX,3.713520e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.792000e-03,1.000000e-06
17,XXX,3.741790e-01,0.000000e+00,2.200000e-04,1.670000e-04,2.829000e-03,2.951000e-03,0.000000e+00,0.000000e+00,XXX,3.745660e-01,1.000000e-05,2.100000e-05,5.000000e-06,2.792000e-03,1.000000e-06,XXX,3.773950e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.944000e-03,1.000000e-06
18,XXX,3.803540e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.992000e-03,2.856000e-03,0.000000e+00,0.000000e+00,XXX,3.803540e-01,0.000000e+00,2.000000e-06,5.000000e-06,2.984000e-03,1.000000e-06,XXX,3.833460e-01,0.000000e+00,2.000000e-05,4.000000e-06,2.831000e-03,1.000000e-06
19,XXX,3.862100e-01,0.000000e+00,2.300000e-04,1.510000e-04,2.865000e-03,2.963000e-03,0.000000e+00,0.000000e+00,XXX,3.865910e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.838000e-03,1.000000e-06,XXX,3.894560e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.956000e-03,1.000000e-06
20,XXX,3.924380e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.968000e-03,2.838000e-03,2.564800e-02,0.000000e+00,XXX,3.924380e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.960000e-03,2.000000e-06,XXX,3.954060e-01,0.000000e+00,2.200000e-05,7.000000e-06,2.807000e-03,2.000000e-06
21,XXX,4.239010e-01,0.000000e+00,2.180000e-04,2.190000e-04,2.839000e-03,2.949000e-03,0.000000e+00,0.000000e+00,XXX,4.243390e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.810000e-03,2.000000e-06,XXX,4.271770e-01,0.000000e+00,3.000000e-06,4.000000e-06,2.941000e-03,1.000000e-06
22,XXX,4.301350e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.974000e-03,2.839000e-03,0.000000e+00,0.000000e+00,XXX,4.301350e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.967000e-03,1.000000e-06,XXX,4.331100e-01,0.000000e+00,2.200000e-05,5.000000e-06,2.810000e-03,1.000000e-06
23,XXX,4.359560e-01,0.000000e+00,2.280000e-04,9.000000e-05,2.856000e-03,2.948000e-03,0.000000e+00,0.000000e+00,XXX,4.362740e-01,0.000000e+00,1.900000e-05,5.000000e-06,2.831000e-03,1.000000e-06,XXX,4.391300e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.941000e-03,1.000000e-06
24,XXX,4.420860e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.973000e-03,2.857000e-03,0.000000e+00,0.000000e+00,XXX,4.420860e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.966000e-03,1.000000e-06,XXX,4.450590e-01,0.000000e+00,2.000000e-05,5.000000e-06,2.831000e-03,1.000000e-06
25,XXX,4.479240e-01,0.000000e+00,2.280000e-04,1.120000e-04,2.906000e-03,3.032000e-03,0.000000e+00,0.000000e+00,XXX,4.482640e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.879000e-03,1.000000e-06,XXX,4.511700e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.024000e-03,2.000000e-06
26,XXX,4.542100e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.032000e-03,2.888000e-03,0.000000e+00,0.000000e+00,XXX,4.542100e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.024000e-03,1.000000e-06,XXX,4.572420e-01,0.000000e+00,2.400000e-05,5.000000e-06,2.858000e-03,1.000000e-06
27,XXX,4.601370e-01,1.000000e-06,2.300000e-04,1.250000e-04,2.841000e-03,2.930000e-03,0.000000e+00,0.000000e+00,XXX,4.604930e-01,1.000000e-06,1.800000e-05,5.000000e-06,2.816000e-03,1.000000e-06,XXX,4.633350e-01,0.000000e+00,1.000000e-06,4.000000e-06,2.911000e-03,1.300000e-05
28,XXX,4.662720e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.953000e-03,2.846000e-03,0.000000e+00,1.000000e-06,XXX,4.662730e-01,0.000000e+00,2.000000e-06,4.000000e-06,2.945000e-03,1.000000e-06,XXX,4.692250e-01,0.000000e+00,2.600000e-05,5.000000e-06,2.814000e-03,1.000000e-06
29,XXX,4.720790e-01,0.000000e+00,2.170000e-04,4.450000e-04,2.876000e-03,2.953000e-03,0.000000e+00,0.000000e+00,XXX,4.727410e-01,0.000000e+00,2.100000e-05,5.000000e-06,2.849000e-03,1.000000e-06,XXX,4.756180e-01,0.000000e+00,2.000000e-06,3.000000e-06,2.946000e-03,1.000000e-06
