step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.983940e-01,6.000000e-06,8.790000e-04,1.900000e-05,1.137600e-02,1.169600e-02,0.000000e+00,0.000000e+00,XXX,2.992980e-01,0.000000e+00,7.000000e-05,1.180000e-04,1.118600e-02,2.000000e-06,XXX,3.106740e-01,0.000000e+00,6.000000e-06,1.400000e-05,1.167500e-02,1.000000e-06
2,XXX,3.223850e-01,2.000000e-06,0.000000e+00,0.000000e+00,1.171600e-02,1.140000e-02,0.000000e+00,0.000000e+00,XXX,3.223870e-01,0.000000e+00,1.700000e-05,1.400000e-05,1.168300e-02,2.000000e-06,XXX,3.341030e-01,0.000000e+00,1.520000e-04,1.400000e-05,1.123200e-02,2.000000e-06
3,XXX,3.455170e-01,1.000000e-06,8.410000e-04,7.000000e-06,1.120600e-02,1.169700e-02,0.000000e+00,0.000000e+00,XXX,3.463660e-01,0.000000e+00,1.400000e-05,1.300000e-05,1.117700e-02,2.000000e-06,XXX,3.575720e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.167700e-02,1.000000e-06
4,XXX,3.692820e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.174500e-02,1.125600e-02,0.000000e+00,0.000000e+00,XXX,3.692830e-01,0.000000e+00,1.700000e-05,1.400000e-05,1.171200e-02,2.000000e-06,XXX,3.810280e-01,0.000000e+00,6.000000e-05,1.300000e-05,1.118200e-02,1.000000e-06
5,XXX,3.922960e-01,1.000000e-06,8.420000e-04,1.600000e-05,1.120900e-02,1.170400e-02,0.000000e+00,0.000000e+00,XXX,3.931550e-01,0.000000e+00,1.400000e-05,1.400000e-05,1.118000e-02,1.000000e-06,XXX,4.043640e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.168400e-02,1.000000e-06
6,XXX,4.160810e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.174900e-02,1.128000e-02,0.000000e+00,0.000000e+00,XXX,4.160820e-01,0.000000e+00,1.700000e-05,1.400000e-05,1.171600e-02,2.000000e-06,XXX,4.278310e-01,0.000000e+00,7.100000e-05,1.400000e-05,1.119300e-02,2.000000e-06
7,XXX,4.391230e-01,1.000000e-06,8.410000e-04,6.000000e-06,1.115000e-02,1.150000e-02,0.000000e+00,0.000000e+00,XXX,4.399720e-01,0.000000e+00,1.100000e-05,1.400000e-05,1.112200e-02,2.000000e-06,XXX,4.511210e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.148000e-02,1.000000e-06
8,XXX,4.626340e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.154400e-02,1.156700e-02,0.000000e+00,0.000000e+00,XXX,4.626350e-01,0.000000e+00,1.700000e-05,1.400000e-05,1.151200e-02,1.000000e-06,XXX,4.741790e-01,1.000000e-06,4.370000e-04,1.300000e-05,1.111500e-02,1.000000e-06
9,XXX,4.857580e-01,1.000000e-06,8.400000e-04,7.700000e-05,1.114600e-02,1.150100e-02,1.000000e-06,0.000000e+00,XXX,4.866760e-01,0.000000e+00,1.400000e-05,1.300000e-05,1.111800e-02,1.000000e-06,XXX,4.978220e-01,0.000000e+00,6.000000e-06,1.300000e-05,1.148100e-02,1.000000e-06
10,XXX,5.093360e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.160700e-02,1.158000e-02,1.015260e-01,0.000000e+00,XXX,5.093370e-01,0.000000e+00,1.700000e-05,1.400000e-05,1.157400e-02,2.000000e-06,XXX,5.209440e-01,0.000000e+00,3.570000e-04,1.400000e-05,1.120800e-02,1.000000e-06
