step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.210400e-02,9.000000e-06,2.482000e-03,1.900000e-05,2.978300e-02,2.809700e-02,1.000000e-06,0.000000e+00,XXX,2.461600e-02,0.000000e+00,7.500000e-05,2.520000e-04,2.938000e-02,7.400000e-05,XXX,5.439800e-02,0.000000e+00,2.500000e-05,1.590000e-04,2.784400e-02,6.800000e-05
2,XXX,8.252300e-02,1.000000e-06,0.000000e+00,0.000000e+00,2.586400e-02,2.415700e-02,0.000000e+00,0.000000e+00,XXX,8.252400e-02,1.000000e-06,1.800000e-05,1.430000e-04,2.562100e-02,8.100000e-05,XXX,1.083890e-01,0.000000e+00,1.510000e-04,1.400000e-04,2.380700e-02,5.800000e-05
3,XXX,1.325670e-01,1.000000e-06,1.806000e-03,3.900000e-05,2.406200e-02,2.522400e-02,0.000000e+00,0.000000e+00,XXX,1.344130e-01,0.000000e+00,2.100000e-05,1.420000e-04,2.383300e-02,6.600000e-05,XXX,1.584760e-01,0.000000e+00,2.500000e-05,1.390000e-04,2.499800e-02,6.100000e-05
4,XXX,1.837210e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.533100e-02,2.435000e-02,0.000000e+00,0.000000e+00,XXX,1.837230e-01,0.000000e+00,1.600000e-05,1.350000e-04,2.510200e-02,7.700000e-05,XXX,2.090540e-01,0.000000e+00,3.360000e-04,1.380000e-04,2.381600e-02,5.900000e-05
5,XXX,2.334230e-01,1.000000e-06,1.807000e-03,3.200000e-05,2.407200e-02,2.524900e-02,1.000000e-06,0.000000e+00,XXX,2.352630e-01,0.000000e+00,2.200000e-05,1.430000e-04,2.383700e-02,6.900000e-05,XXX,2.593350e-01,0.000000e+00,2.600000e-05,1.390000e-04,2.502500e-02,5.900000e-05
6,XXX,2.846070e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.529400e-02,2.438700e-02,0.000000e+00,1.000000e-06,XXX,2.846080e-01,0.000000e+00,1.700000e-05,1.330000e-04,2.506800e-02,7.500000e-05,XXX,3.099020e-01,0.000000e+00,3.970000e-04,1.390000e-04,2.379400e-02,5.700000e-05
7,XXX,3.343100e-01,1.000000e-06,1.810000e-03,3.700000e-05,2.407900e-02,2.552800e-02,1.000000e-06,0.000000e+00,XXX,3.361590e-01,0.000000e+00,2.000000e-05,1.510000e-04,2.383200e-02,7.500000e-05,XXX,3.602370e-01,0.000000e+00,3.000000e-05,1.420000e-04,2.525800e-02,9.800000e-05
8,XXX,3.857990e-01,1.000000e-06,0.000000e+00,1.000000e-06,2.559600e-02,2.412500e-02,1.000000e-06,0.000000e+00,XXX,3.858010e-01,0.000000e+00,2.700000e-05,1.450000e-04,2.532800e-02,9.600000e-05,XXX,4.113980e-01,0.000000e+00,8.900000e-05,1.450000e-04,2.383400e-02,5.600000e-05
9,XXX,4.355470e-01,1.000000e-06,1.810000e-03,3.200000e-05,2.406700e-02,2.547700e-02,0.000000e+00,0.000000e+00,XXX,4.373900e-01,0.000000e+00,2.000000e-05,1.420000e-04,2.383600e-02,6.900000e-05,XXX,4.614580e-01,0.000000e+00,2.700000e-05,1.400000e-04,2.521600e-02,9.200000e-05
10,XXX,4.869610e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.551100e-02,2.410700e-02,1.785330e-01,0.000000e+00,XXX,4.869630e-01,0.000000e+00,2.700000e-05,1.430000e-04,2.524200e-02,9.800000e-05,XXX,5.124730e-01,0.000000e+00,4.500000e-05,1.420000e-04,2.384900e-02,7.100000e-05
11,XXX,7.151280e-01,2.000000e-06,1.837000e-03,1.300000e-05,2.415200e-02,2.529200e-02,0.000000e+00,0.000000e+00,XXX,7.169800e-01,0.000000e+00,2.500000e-05,1.910000e-04,2.387100e-02,6.500000e-05,XXX,7.411330e-01,0.000000e+00,2.300000e-05,1.370000e-04,2.506000e-02,7.100000e-05
12,XXX,7.664430e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.539100e-02,2.405500e-02,0.000000e+00,0.000000e+00,XXX,7.664440e-01,0.000000e+00,1.800000e-05,1.360000e-04,2.515400e-02,8.200000e-05,XXX,7.918350e-01,0.000000e+00,3.300000e-05,1.440000e-04,2.382300e-02,5.500000e-05
13,XXX,8.159080e-01,1.000000e-06,1.816000e-03,1.000000e-05,2.410500e-02,2.537700e-02,0.000000e+00,0.000000e+00,XXX,8.177350e-01,0.000000e+00,2.200000e-05,1.500000e-04,2.386700e-02,6.500000e-05,XXX,8.418400e-01,0.000000e+00,2.500000e-05,1.370000e-04,2.512400e-02,9.100000e-05
14,XXX,8.672380e-01,1.000000e-06,0.000000e+00,1.000000e-06,2.557000e-02,2.410300e-02,0.000000e+00,0.000000e+00,XXX,8.672400e-01,0.000000e+00,2.500000e-05,1.400000e-04,2.531100e-02,9.400000e-05,XXX,8.928100e-01,0.000000e+00,3.500000e-05,1.450000e-04,2.386200e-02,6.100000e-05
15,XXX,9.169480e-01,1.000000e-06,1.815000e-03,8.000000e-06,2.407400e-02,2.535000e-02,0.000000e+00,0.000000e+00,XXX,9.187720e-01,0.000000e+00,2.200000e-05,1.500000e-04,2.383800e-02,6.400000e-05,XXX,9.428460e-01,0.000000e+00,2.500000e-05,1.360000e-04,2.513100e-02,5.800000e-05
