step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,1.930000e-02,9.000000e-06,1.173000e-03,1.700000e-05,1.478500e-02,1.464800e-02,0.000000e+00,0.000000e+00,XXX,2.050100e-02,0.000000e+00,6.100000e-05,1.250000e-04,1.455700e-02,4.000000e-05,XXX,3.528500e-02,0.000000e+00,1.600000e-05,6.800000e-05,1.451900e-02,4.400000e-05
2,XXX,4.995700e-02,2.000000e-06,0.000000e+00,0.000000e+00,1.388600e-02,1.269800e-02,0.000000e+00,0.000000e+00,XXX,4.995900e-02,0.000000e+00,1.400000e-05,7.300000e-05,1.376400e-02,3.500000e-05,XXX,6.384500e-02,0.000000e+00,3.200000e-05,5.800000e-05,1.258300e-02,2.500000e-05
3,XXX,7.656100e-02,1.000000e-06,9.330000e-04,1.800000e-05,1.216900e-02,1.229500e-02,0.000000e+00,0.000000e+00,XXX,7.751300e-02,0.000000e+00,1.800000e-05,5.400000e-05,1.207100e-02,2.500000e-05,XXX,8.968200e-02,0.000000e+00,9.000000e-06,5.100000e-05,1.220800e-02,2.600000e-05
4,XXX,1.019920e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.230700e-02,1.184900e-02,0.000000e+00,0.000000e+00,XXX,1.019930e-01,0.000000e+00,9.000000e-06,5.100000e-05,1.221900e-02,2.800000e-05,XXX,1.143000e-01,0.000000e+00,3.100000e-05,5.100000e-05,1.174300e-02,2.400000e-05
5,XXX,1.261650e-01,1.000000e-06,9.020000e-04,3.300000e-05,1.185100e-02,1.231200e-02,0.000000e+00,0.000000e+00,XXX,1.271010e-01,0.000000e+00,1.800000e-05,5.200000e-05,1.175600e-02,2.500000e-05,XXX,1.389520e-01,1.000000e-06,9.000000e-06,5.000000e-05,1.222600e-02,2.600000e-05
6,XXX,1.512790e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.233000e-02,1.185600e-02,0.000000e+00,1.000000e-06,XXX,1.512800e-01,0.000000e+00,9.000000e-06,5.100000e-05,1.224300e-02,2.700000e-05,XXX,1.636100e-01,0.000000e+00,3.600000e-05,5.100000e-05,1.174500e-02,2.400000e-05
7,XXX,1.754810e-01,1.000000e-06,9.000000e-04,8.000000e-06,1.185200e-02,1.230900e-02,0.000000e+00,0.000000e+00,XXX,1.763900e-01,0.000000e+00,1.700000e-05,5.200000e-05,1.175800e-02,2.500000e-05,XXX,1.882420e-01,0.000000e+00,9.000000e-06,5.100000e-05,1.222200e-02,2.600000e-05
8,XXX,2.005650e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.233200e-02,1.194500e-02,0.000000e+00,0.000000e+00,XXX,2.005660e-01,0.000000e+00,9.000000e-06,5.200000e-05,1.224500e-02,2.600000e-05,XXX,2.128990e-01,0.000000e+00,1.270000e-04,5.300000e-05,1.173900e-02,2.500000e-05
9,XXX,2.248570e-01,1.000000e-06,9.000000e-04,1.400000e-05,1.187100e-02,1.236300e-02,0.000000e+00,0.000000e+00,XXX,2.257720e-01,0.000000e+00,1.700000e-05,5.300000e-05,1.177600e-02,2.500000e-05,XXX,2.376440e-01,0.000000e+00,9.000000e-06,5.300000e-05,1.227400e-02,2.600000e-05
10,XXX,2.500200e-01,1.000000e-06,0.000000e+00,0.000000e+00,1.236500e-02,1.199500e-02,8.744100e-02,0.000000e+00,XXX,2.500210e-01,0.000000e+00,9.000000e-06,5.300000e-05,1.227700e-02,2.600000e-05,XXX,2.623860e-01,0.000000e+00,1.560000e-04,5.400000e-05,1.176000e-02,2.500000e-05
