step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.628600e-02,3.600000e-05,5.860000e-04,7.600000e-05,7.657000e-03,7.875000e-03,0.000000e+00,0.000000e+00,XXX,2.698500e-02,0.000000e+00,7.100000e-05,6.800000e-05,7.500000e-03,1.700000e-05,XXX,3.464100e-02,0.000000e+00,6.000000e-06,1.900000e-05,7.834000e-03,1.600000e-05
2,XXX,4.257800e-02,2.600000e-05,1.000000e-06,0.000000e+00,7.651000e-03,6.959000e-03,0.000000e+00,0.000000e+00,XXX,4.260500e-02,0.000000e+00,6.000000e-06,2.000000e-05,7.610000e-03,1.500000e-05,XXX,5.025600e-02,0.000000e+00,4.100000e-05,1.800000e-05,6.887000e-03,1.300000e-05
3,XXX,5.726800e-02,2.500000e-05,5.280000e-04,1.155600e-02,6.616000e-03,6.749000e-03,0.000000e+00,1.000000e-06,XXX,6.937700e-02,1.000000e-06,2.400000e-05,2.200000e-05,6.556000e-03,1.300000e-05,XXX,7.599400e-02,0.000000e+00,6.000000e-06,1.600000e-05,6.714000e-03,1.200000e-05
4,XXX,8.279800e-02,2.500000e-05,0.000000e+00,0.000000e+00,6.635000e-03,6.166000e-03,0.000000e+00,0.000000e+00,XXX,8.282300e-02,0.000000e+00,6.000000e-06,1.700000e-05,6.600000e-03,1.200000e-05,XXX,8.945800e-02,0.000000e+00,2.300000e-05,1.600000e-05,6.114000e-03,1.300000e-05
5,XXX,9.567100e-02,2.200000e-05,4.710000e-04,3.413000e-03,5.943000e-03,6.277000e-03,0.000000e+00,0.000000e+00,XXX,9.957700e-02,0.000000e+00,1.900000e-05,1.700000e-05,5.896000e-03,1.100000e-05,XXX,1.055200e-01,0.000000e+00,5.000000e-06,1.500000e-05,6.245000e-03,1.200000e-05
6,XXX,1.118440e-01,2.200000e-05,0.000000e+00,0.000000e+00,6.269000e-03,5.946000e-03,0.000000e+00,0.000000e+00,XXX,1.118670e-01,0.000000e+00,4.000000e-06,1.700000e-05,6.235000e-03,1.200000e-05,XXX,1.181350e-01,0.000000e+00,2.200000e-05,1.600000e-05,5.896000e-03,1.200000e-05
7,XXX,1.241270e-01,2.200000e-05,4.530000e-04,7.956000e-03,5.977000e-03,6.265000e-03,0.000000e+00,0.000000e+00,XXX,1.325580e-01,0.000000e+00,2.700000e-05,2.000000e-05,5.918000e-03,1.200000e-05,XXX,1.385350e-01,0.000000e+00,5.000000e-06,1.500000e-05,6.233000e-03,1.200000e-05
8,XXX,1.448600e-01,2.100000e-05,0.000000e+00,0.000000e+00,6.231000e-03,5.941000e-03,0.000000e+00,0.000000e+00,XXX,1.448810e-01,0.000000e+00,5.000000e-06,1.600000e-05,6.199000e-03,1.100000e-05,XXX,1.511120e-01,0.000000e+00,2.300000e-05,1.600000e-05,5.891000e-03,1.100000e-05
9,XXX,1.570970e-01,2.100000e-05,4.550000e-04,6.448000e-03,5.946000e-03,6.242000e-03,0.000000e+00,0.000000e+00,XXX,1.640220e-01,0.000000e+00,1.700000e-05,1.800000e-05,5.899000e-03,1.100000e-05,XXX,1.699680e-01,0.000000e+00,5.000000e-06,1.400000e-05,6.210000e-03,1.200000e-05
10,XXX,1.762560e-01,2.200000e-05,0.000000e+00,0.000000e+00,6.239000e-03,5.946000e-03,4.493600e-02,0.000000e+00,XXX,1.762780e-01,0.000000e+00,5.000000e-06,1.500000e-05,6.208000e-03,1.100000e-05,XXX,1.825180e-01,0.000000e+00,2.000000e-05,1.500000e-05,5.900000e-03,1.000000e-05
