step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.884490e-01,0.000000e+00,4.230000e-04,8.100000e-05,5.786000e-03,6.024000e-03,0.000000e+00,0.000000e+00,XXX,2.889540e-01,0.000000e+00,7.400000e-05,6.100000e-05,5.648000e-03,2.000000e-06,XXX,2.947390e-01,1.000000e-06,9.000000e-06,7.000000e-06,6.005000e-03,2.000000e-06
2,XXX,3.007790e-01,0.000000e+00,0.000000e+00,1.000000e-06,5.990000e-03,5.695000e-03,0.000000e+00,1.000000e-06,XXX,3.007800e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.979000e-03,1.000000e-06,XXX,3.067710e-01,0.000000e+00,2.400000e-05,8.000000e-06,5.661000e-03,1.000000e-06
3,XXX,3.124740e-01,0.000000e+00,4.120000e-04,6.000000e-06,5.674000e-03,6.012000e-03,0.000000e+00,0.000000e+00,XXX,3.128920e-01,0.000000e+00,2.200000e-05,8.000000e-06,5.643000e-03,1.000000e-06,XXX,3.185660e-01,0.000000e+00,3.000000e-06,6.000000e-06,6.002000e-03,1.000000e-06
4,XXX,3.245860e-01,0.000000e+00,0.000000e+00,1.000000e-06,5.995000e-03,5.680000e-03,0.000000e+00,0.000000e+00,XXX,3.245870e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.984000e-03,1.000000e-06,XXX,3.305820e-01,0.000000e+00,3.000000e-05,7.000000e-06,5.641000e-03,2.000000e-06
5,XXX,3.362690e-01,0.000000e+00,4.270000e-04,1.300000e-05,5.673000e-03,5.990000e-03,0.000000e+00,0.000000e+00,XXX,3.367090e-01,0.000000e+00,2.300000e-05,8.000000e-06,5.641000e-03,1.000000e-06,XXX,3.423820e-01,0.000000e+00,5.000000e-06,7.000000e-06,5.976000e-03,1.000000e-06
6,XXX,3.483790e-01,0.000000e+00,0.000000e+00,1.000000e-06,6.015000e-03,5.675000e-03,0.000000e+00,0.000000e+00,XXX,3.483800e-01,0.000000e+00,3.000000e-06,1.000000e-05,6.001000e-03,1.000000e-06,XXX,3.543950e-01,0.000000e+00,2.400000e-05,1.000000e-05,5.640000e-03,1.000000e-06
7,XXX,3.600780e-01,0.000000e+00,4.260000e-04,2.800000e-05,5.665000e-03,5.981000e-03,0.000000e+00,0.000000e+00,XXX,3.605320e-01,0.000000e+00,1.800000e-05,7.000000e-06,5.639000e-03,1.000000e-06,XXX,3.661980e-01,0.000000e+00,3.000000e-06,6.000000e-06,5.969000e-03,1.000000e-06
8,XXX,3.721850e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.005000e-03,5.670000e-03,0.000000e+00,0.000000e+00,XXX,3.721860e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.992000e-03,2.000000e-06,XXX,3.781900e-01,0.000000e+00,2.300000e-05,7.000000e-06,5.639000e-03,1.000000e-06
9,XXX,3.838680e-01,0.000000e+00,4.010000e-04,9.700000e-05,5.694000e-03,5.979000e-03,1.000000e-06,0.000000e+00,XXX,3.843660e-01,0.000000e+00,2.600000e-05,7.000000e-06,5.659000e-03,1.000000e-06,XXX,3.900600e-01,0.000000e+00,3.000000e-06,6.000000e-06,5.969000e-03,1.000000e-06
10,XXX,3.960470e-01,1.000000e-06,0.000000e+00,0.000000e+00,6.004000e-03,5.666000e-03,4.868300e-02,0.000000e+00,XXX,3.960480e-01,0.000000e+00,3.000000e-06,7.000000e-06,5.992000e-03,2.000000e-06,XXX,4.020520e-01,0.000000e+00,2.000000e-05,7.000000e-06,5.638000e-03,1.000000e-06
