step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,2.991700e-01,7.000000e-06,2.870000e-04,2.100000e-05,3.011000e-03,3.021000e-03,0.000000e+00,0.000000e+00,XXX,2.994850e-01,0.000000e+00,6.300000e-05,4.300000e-05,2.904000e-03,1.000000e-06,XXX,3.024970e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.012000e-03,2.000000e-06
2,XXX,3.055330e-01,1.000000e-06,0.000000e+00,0.000000e+00,3.047000e-03,2.968000e-03,0.000000e+00,0.000000e+00,XXX,3.055340e-01,0.000000e+00,2.000000e-06,1.600000e-05,3.027000e-03,2.000000e-06,XXX,3.085810e-01,0.000000e+00,6.400000e-05,4.000000e-06,2.898000e-03,1.000000e-06
3,XXX,3.115610e-01,1.000000e-06,2.350000e-04,6.700000e-05,2.947000e-03,3.022000e-03,0.000000e+00,0.000000e+00,XXX,3.118640e-01,0.000000e+00,1.500000e-05,5.000000e-06,2.925000e-03,2.000000e-06,XXX,3.148110e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.015000e-03,1.000000e-06
4,XXX,3.178450e-01,1.000000e-06,0.000000e+00,0.000000e+00,3.048000e-03,2.926000e-03,0.000000e+00,0.000000e+00,XXX,3.178470e-01,0.000000e+00,2.000000e-06,1.500000e-05,3.029000e-03,1.000000e-06,XXX,3.208950e-01,0.000000e+00,1.800000e-05,5.000000e-06,2.900000e-03,2.000000e-06
5,XXX,3.238320e-01,1.000000e-06,2.340000e-04,5.000000e-05,2.922000e-03,3.025000e-03,0.000000e+00,1.000000e-06,XXX,3.241180e-01,0.000000e+00,1.400000e-05,4.000000e-06,2.902000e-03,1.000000e-06,XXX,3.270390e-01,1.000000e-06,1.000000e-06,4.000000e-06,3.018000e-03,1.000000e-06
6,XXX,3.300770e-01,1.000000e-06,0.000000e+00,0.000000e+00,3.051000e-03,2.974000e-03,0.000000e+00,0.000000e+00,XXX,3.300780e-01,0.000000e+00,2.000000e-06,1.600000e-05,3.032000e-03,1.000000e-06,XXX,3.331290e-01,0.000000e+00,6.300000e-05,5.000000e-06,2.905000e-03,1.000000e-06
7,XXX,3.361150e-01,1.000000e-06,2.350000e-04,7.000000e-05,3.003000e-03,3.025000e-03,1.000000e-06,0.000000e+00,XXX,3.364210e-01,0.000000e+00,1.400000e-05,5.000000e-06,2.982000e-03,2.000000e-06,XXX,3.394240e-01,0.000000e+00,2.000000e-06,5.000000e-06,3.017000e-03,1.000000e-06
8,XXX,3.424630e-01,1.000000e-06,0.000000e+00,0.000000e+00,3.067000e-03,2.934000e-03,0.000000e+00,0.000000e+00,XXX,3.424640e-01,0.000000e+00,2.000000e-06,1.500000e-05,3.048000e-03,2.000000e-06,XXX,3.455310e-01,0.000000e+00,1.700000e-05,5.000000e-06,2.911000e-03,1.000000e-06
9,XXX,3.484780e-01,1.000000e-06,2.560000e-04,6.000000e-06,2.930000e-03,3.050000e-03,0.000000e+00,0.000000e+00,XXX,3.487410e-01,0.000000e+00,1.300000e-05,5.000000e-06,2.910000e-03,2.000000e-06,XXX,3.516710e-01,0.000000e+00,2.000000e-06,4.000000e-06,3.043000e-03,1.000000e-06
10,XXX,3.547340e-01,1.000000e-06,0.000000e+00,0.000000e+00,3.101000e-03,2.968000e-03,3.048700e-02,1.000000e-06,XXX,3.547350e-01,0.000000e+00,2.000000e-06,1.500000e-05,3.083000e-03,1.000000e-06,XXX,3.578370e-01,0.000000e+00,1.600000e-05,4.000000e-06,2.946000e-03,1.000000e-06
