step_nr,mainloop:,start of iteration(abs),0..1 print and init,1..2 compute_deltat(),2..3 mpi dt sync,3..4 1. h_godunov,4..5 2. h_godunov,5..6 writing state,6..7 sync loop (if DBG),MPI_hydro_godunov: first sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace,MPI_hydro_godunov: second sweep,start of func (abs),0..1 print and init,1..2 make_boundary,2..3 alloc wspace,3..4 calc. loop,4..5 dealloc. wspace
1,XXX,5.689600e-02,1.800000e-05,2.582000e-03,6.000000e-06,3.100600e-02,2.951200e-02,0.000000e+00,0.000000e+00,XXX,5.950400e-02,0.000000e+00,1.400000e-05,3.310000e-04,3.057600e-02,8.200000e-05,XXX,9.050800e-02,0.000000e+00,2.700000e-05,1.670000e-04,2.921900e-02,9.900000e-05
2,XXX,1.200490e-01,2.000000e-06,0.000000e+00,0.000000e+00,2.685800e-02,2.408300e-02,1.000000e-06,0.000000e+00,XXX,1.200510e-01,0.000000e+00,2.500000e-05,1.520000e-04,2.658800e-02,9.300000e-05,XXX,1.469100e-01,0.000000e+00,1.100000e-05,1.440000e-04,2.386300e-02,6.400000e-05
3,XXX,1.710140e-01,1.000000e-06,1.819000e-03,3.000000e-06,2.401800e-02,2.528600e-02,0.000000e+00,0.000000e+00,XXX,1.728370e-01,0.000000e+00,8.000000e-06,1.420000e-04,2.380300e-02,6.500000e-05,XXX,1.968550e-01,0.000000e+00,2.400000e-05,1.360000e-04,2.506500e-02,6.100000e-05
4,XXX,2.221610e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.545100e-02,2.397600e-02,1.000000e-06,0.000000e+00,XXX,2.221620e-01,0.000000e+00,1.700000e-05,1.330000e-04,2.522500e-02,7.500000e-05,XXX,2.476130e-01,0.000000e+00,1.000000e-05,1.420000e-04,2.377100e-02,5.300000e-05
5,XXX,2.716080e-01,1.000000e-06,1.806000e-03,2.000000e-06,2.399300e-02,2.523100e-02,0.000000e+00,0.000000e+00,XXX,2.734170e-01,0.000000e+00,7.000000e-06,1.340000e-04,2.379000e-02,6.200000e-05,XXX,2.974110e-01,0.000000e+00,2.000000e-05,1.350000e-04,2.501900e-02,5.600000e-05
6,XXX,3.226600e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.532100e-02,2.395800e-02,0.000000e+00,0.000000e+00,XXX,3.226610e-01,0.000000e+00,1.600000e-05,1.310000e-04,2.510400e-02,7.000000e-05,XXX,3.479820e-01,0.000000e+00,1.000000e-05,1.340000e-04,2.376200e-02,5.200000e-05
7,XXX,3.719580e-01,1.000000e-06,1.800000e-03,2.000000e-06,2.397300e-02,2.518000e-02,0.000000e+00,1.000000e-06,XXX,3.737610e-01,0.000000e+00,6.000000e-06,1.310000e-04,2.377900e-02,5.700000e-05,XXX,3.977340e-01,0.000000e+00,1.900000e-05,1.320000e-04,2.497500e-02,5.400000e-05
8,XXX,4.229310e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.521300e-02,2.396100e-02,0.000000e+00,0.000000e+00,XXX,4.229320e-01,0.000000e+00,1.600000e-05,1.300000e-04,2.500700e-02,6.000000e-05,XXX,4.481450e-01,0.000000e+00,9.000000e-06,1.310000e-04,2.376500e-02,5.500000e-05
9,XXX,4.721230e-01,0.000000e+00,1.807000e-03,1.000000e-06,2.397100e-02,2.512300e-02,0.000000e+00,0.000000e+00,XXX,4.739320e-01,0.000000e+00,6.000000e-06,1.340000e-04,2.377300e-02,5.700000e-05,XXX,4.979020e-01,0.000000e+00,1.800000e-05,1.300000e-04,2.492300e-02,5.200000e-05
10,XXX,5.230400e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.513800e-02,2.400800e-02,1.779830e-01,0.000000e+00,XXX,5.230410e-01,0.000000e+00,1.500000e-05,1.310000e-04,2.493300e-02,5.800000e-05,XXX,5.481790e-01,0.000000e+00,8.000000e-06,1.320000e-04,2.380700e-02,6.000000e-05
11,XXX,7.501840e-01,1.000000e-06,1.827000e-03,3.000000e-06,2.406700e-02,2.506800e-02,0.000000e+00,0.000000e+00,XXX,7.520150e-01,0.000000e+00,8.000000e-06,1.850000e-04,2.381400e-02,6.000000e-05,XXX,7.760820e-01,0.000000e+00,2.200000e-05,1.320000e-04,2.486100e-02,5.300000e-05
12,XXX,8.011690e-01,0.000000e+00,0.000000e+00,1.000000e-06,2.514600e-02,2.400600e-02,0.000000e+00,0.000000e+00,XXX,8.011700e-01,0.000000e+00,1.500000e-05,1.310000e-04,2.493500e-02,6.500000e-05,XXX,8.263170e-01,0.000000e+00,8.000000e-06,1.340000e-04,2.381100e-02,5.100000e-05
13,XXX,8.503380e-01,1.000000e-06,1.804000e-03,2.000000e-06,2.397000e-02,2.502600e-02,0.000000e+00,0.000000e+00,XXX,8.521450e-01,0.000000e+00,7.000000e-06,1.280000e-04,2.377500e-02,6.000000e-05,XXX,8.761150e-01,0.000000e+00,1.800000e-05,1.330000e-04,2.482300e-02,5.200000e-05
14,XXX,9.011580e-01,1.000000e-06,0.000000e+00,0.000000e+00,2.508300e-02,2.397700e-02,0.000000e+00,0.000000e+00,XXX,9.011590e-01,0.000000e+00,1.500000e-05,1.310000e-04,2.487900e-02,5.700000e-05,XXX,9.262420e-01,0.000000e+00,8.000000e-06,1.310000e-04,2.378700e-02,5.100000e-05
15,XXX,9.502640e-01,1.000000e-06,1.803000e-03,2.000000e-06,2.398100e-02,2.513700e-02,0.000000e+00,0.000000e+00,XXX,9.520700e-01,0.000000e+00,7.000000e-06,1.300000e-04,2.379000e-02,5.400000e-05,XXX,9.760520e-01,0.000000e+00,1.700000e-05,1.310000e-04,2.493600e-02,5.200000e-05
16,XXX,1.001203e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.532600e-02,2.399300e-02,0.000000e+00,0.000000e+00,XXX,1.001204e+00,0.000000e+00,1.500000e-05,1.300000e-04,2.511700e-02,6.400000e-05,XXX,1.026530e+00,0.000000e+00,1.000000e-05,1.330000e-04,2.379800e-02,5.100000e-05
17,XXX,1.050540e+00,0.000000e+00,1.804000e-03,3.000000e-06,2.399500e-02,2.550000e-02,0.000000e+00,0.000000e+00,XXX,1.052347e+00,0.000000e+00,6.000000e-06,1.290000e-04,2.379900e-02,6.100000e-05,XXX,1.076342e+00,0.000000e+00,2.300000e-05,1.340000e-04,2.525100e-02,9.200000e-05
18,XXX,1.101866e+00,1.000000e-06,0.000000e+00,0.000000e+00,2.555400e-02,2.406100e-02,1.000000e-06,0.000000e+00,XXX,1.101867e+00,0.000000e+00,2.400000e-05,1.410000e-04,2.529500e-02,9.400000e-05,XXX,1.127422e+00,0.000000e+00,1.000000e-05,1.440000e-04,2.385400e-02,5.200000e-05
19,XXX,1.151506e+00,1.000000e-06,1.806000e-03,2.000000e-06,2.402100e-02,2.511800e-02,1.000000e-06,0.000000e+00,XXX,1.153315e+00,0.000000e+00,7.000000e-06,1.290000e-04,2.382600e-02,5.900000e-05,XXX,1.177336e+00,0.000000e+00,2.100000e-05,1.300000e-04,2.491500e-02,5.200000e-05
20,XXX,1.202471e+00,0.000000e+00,1.000000e-06,0.000000e+00,2.521300e-02,2.408100e-02,1.779170e-01,1.000000e-06,XXX,1.202472e+00,0.000000e+00,1.500000e-05,1.300000e-04,2.500700e-02,6.100000e-05,XXX,1.227685e+00,0.000000e+00,1.200000e-05,1.330000e-04,2.388400e-02,5.200000e-05
21,XXX,1.429698e+00,1.000000e-06,1.815000e-03,2.000000e-06,2.408100e-02,2.519300e-02,0.000000e+00,0.000000e+00,XXX,1.431517e+00,0.000000e+00,7.000000e-06,1.890000e-04,2.382700e-02,5.700000e-05,XXX,1.455597e+00,0.000000e+00,2.300000e-05,1.350000e-04,2.498200e-02,5.300000e-05
22,XXX,1.480808e+00,1.000000e-06,1.000000e-06,0.000000e+00,2.520300e-02,2.395100e-02,0.000000e+00,0.000000e+00,XXX,1.480810e+00,0.000000e+00,1.500000e-05,1.290000e-04,2.500000e-02,5.800000e-05,XXX,1.506013e+00,0.000000e+00,8.000000e-06,1.310000e-04,2.376100e-02,5.100000e-05
